,Title,Location,Company,Salary,Sponsored
0,"Analyst - Identity & Access Management Technician, Gurgaon","Gurgaon, Haryana",BlackRock,,sponsored
1,"Associate - Cyber Assessments, Gurgaon","Gurgaon, Haryana",BlackRock,,sponsored
2,Change-Senior Specialist,"Pune, Maharashtra",Telstra,,sponsored
3,Frontend Developer,"Delhi, Delhi",PropTiger | Housing,,
4,Business Operations Specialist,"Delhi, Delhi",Squad,,
5,Machine Learning Engineer,"Mumbai, Maharashtra",Nimap Infotech,"₹20,00,000 a year",
6,Urgently looking for electronics resource to design circuit,"Noida, Uttar Pradesh",NuSys Technologies,,
7,AI Centre Fellow,"Bengaluru, Karnataka",Microsoft,,
8,CLIENT REFERENCE DATA,"Chennai, Tamil Nadu",Société Générale,,
9,AI Specialist,"Kochi, Kerala",Icubespro,,
10,"Vice President, Mobile Application Developer","Mumbai, Maharashtra",Jaydip Mukerji Holdings,,
11,ACN - Digital - Analytics - Customer Analytics - 11,"Bengaluru, Karnataka",Accenture,,
12,Lead Game Developer Udupi,"Udipi, Karnataka",99Games,,
13,Ionic 4/ Angular developer 6,"Kolkata, West Bengal",PatientMD,,sponsored
14,Technology Support Associate - GUR,"Gurgaon, Haryana",BlackRock,,sponsored
